question_id,rodada,criterio_numero,criterio_nome,eixo,fonte_diagnostico
2,1,7,Distratores devem ser plausíveis,FE,codigo
2,1,17,Aderência ao nível de Bloom declarado,AP,llm
2,2,5,Paralelismo: extensão homogênea,FE,ambos
2,2,6,Gabarito não deve se destacar por tamanho,FE,ambos
2,2,7,Distratores devem ser plausíveis,FE,ambos
2,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,ambos
2,2,17,Aderência ao nível de Bloom declarado,AP,ambos
22,1,11,Comando do enunciado deve ser explícito,FE,codigo
22,1,17,Aderência ao nível de Bloom declarado,AP,codigo
22,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
22,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,codigo
26,1,12,Evitar lacunas no meio do enunciado,FE,codigo
26,1,17,Aderência ao nível de Bloom declarado,AP,ambos
26,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
26,2,17,Aderência ao nível de Bloom declarado,AP,llm
26,2,16,Alternativas devem tratar do conteúdo do item,FE,codigo
32,1,11,Comando do enunciado deve ser explícito,FE,codigo
32,1,17,Aderência ao nível de Bloom declarado,AP,llm
36,1,17,Aderência ao nível de Bloom declarado,AP,codigo e llm
36,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
36,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,codigo
37,1,17,Aderência ao nível de Bloom declarado,AP,codigo
37,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
37,2,9,Evitar pistas verbais (repetição de palavras do enunciado),FE,codigo
39,1,11,Comando do enunciado deve ser explícito,FE,codigo
39,1,17,Aderência ao nível de Bloom declarado,AP,codigo
39,1,6,Gabarito não deve se destacar por tamanho,FE,codigo
39,1,7,Distratores devem ser plausíveis (remoção de termos absolutos),FE,codigo
39,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
39,2,6,Gabarito não deve se destacar por tamanho,FE,codigo
39,2,11,Comando do enunciado deve ser explícito,FE,codigo
56,1,6,Gabarito não deve se destacar por tamanho,FE,codigo
56,1,17,Aderência ao nível de Bloom declarado,AP,codigo
56,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
56,2,4,Correção factual do gabarito,FE,llm
56,2,15,Texto-base deve ser necessário,FE,llm
62,1,6,Gabarito não deve se destacar por tamanho,FE,codigo
62,1,10,Evitar enunciado em formulação negativa,FE,codigo
62,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
62,2,10,Evitar enunciado em formulação negativa,FE,codigo
62,2,6,Gabarito não deve se destacar por tamanho,FE,codigo
63,1,6,Gabarito não deve se destacar por tamanho,FE,codigo
63,1,17,Aderência ao nível de Bloom declarado,AP,llm
63,1,19,Distribuição equilibrada do gabarito no conjunto,APL,codigo
63,2,4,Correção factual do gabarito,FE,llm
