question_id,question_type,discipline,n_avaliacoes,n_correcoes,status_final,n_melhorias_inicial,n_melhorias_final,criterios_iniciais,criterios_finais,criterios_resolvidos,criterios_novos_no_final,n_criterios_resolvidos,taxa_resolucao
2,Afirmação Incompleta,educacao de jovens e adultos,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[7, 15, 16, 17]","[15, 16]","[7, 17]",[],2,0.5
22,Múltipla Escolha Simples,"avaliacao, controle e regulacao no sus",4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 11, 19]","[9, 17]","[11, 19]",[17],2,0.6666666666666666
26,Afirmação Incompleta,geografia economica,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[12, 16, 17, 19]",[16],"[12, 17, 19]",[],3,0.75
32,Múltipla Escolha Simples,arte contemporanea,2,1,APROVADO,1,0,"[7, 11, 17]",[],"[7, 11, 17]",[],3,1.0
36,Múltipla Escolha Simples,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1,0.3333333333333333
37,Múltipla Escolha Simples,estetica facial aplicada,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1,0.3333333333333333
39,Múltipla Escolha Simples,geometria espacial,3,2,APROVADO,4,0,"[6, 7, 11, 17, 19]",[],"[6, 7, 11, 17, 19]",[],5,1.0
56,Múltipla Escolha Simples,quimica organica,4,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 17, 19]",[17],"[6, 19]",[],2,0.6666666666666666
62,Múltipla Escolha Simples,estruturas algebricas,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[6, 10, 19]","[6, 10, 17]",[19],[17],1,0.3333333333333333
63,Afirmação Incompleta,fisioterapia dermatofuncional,4,3,APROVADO,2,0,"[6, 19]",[],"[6, 19]",[],2,1.0
66,Múltipla Escolha Simples,quimica organica,4,3,LIMITE_RODADAS_ATINGIDO,4,1,"[6, 9, 17, 19]",[9],"[6, 17, 19]",[],3,0.75
69,Afirmação Incompleta,fisioterapia dermatofuncional,2,1,APROVADO,1,0,[19],[],[19],[],1,1.0
74,Afirmação Incompleta,morfossintaxe da lingua inglesa,4,3,LIMITE_RODADAS_ATINGIDO,2,1,"[16, 17, 19]",[16],"[17, 19]",[],2,0.6666666666666666
78,Múltipla Escolha Simples,arte contemporanea,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1,0.3333333333333333
85,Múltipla Escolha Simples,metodologias do ensino de linguas estrangeiras,4,3,LIMITE_RODADAS_ATINGIDO,3,2,"[7, 17, 19]","[7, 17]",[19],[],1,0.3333333333333333
