question_id,rodada,status_rodada,avaliacao_origem,criterios_ativos_no_inicio_da_rodada,criterios_que_o_corretor_tentou_resolver
2,1,CORRIGIDO,cache,"[7, 15, 16, 17]","[7, 17]"
2,2,CORRIGIDO,llm,"[5, 6, 7, 9, 16, 17]","[5, 6, 7, 9, 17]"
2,3,LIMITE_RODADAS_ATINGIDO,llm,"[6, 7, 9]",[]
22,1,CORRIGIDO,cache,"[9, 11, 17, 19]","[11, 17, 19]"
22,2,CORRIGIDO,llm,[9],[9]
22,3,LIMITE_RODADAS_ATINGIDO,llm,[9],[]
26,1,CORRIGIDO,cache,"[12, 16, 17, 19]","[12, 17, 19]"
26,2,CORRIGIDO,llm,"[16, 17]","[17, 16]"
26,3,LIMITE_RODADAS_ATINGIDO,llm,"[16, 17]",[]
32,1,CORRIGIDO,cache,"[11, 17]","[11, 17]"
32,2,APROVADO,llm,[],[]
36,1,CORRIGIDO,cache,"[9, 17, 19]","[17, 19]"
36,2,CORRIGIDO,llm,[9],[9]
36,3,LIMITE_RODADAS_ATINGIDO,llm,[9],[]
37,1,CORRIGIDO,cache,"[9, 17, 19]","[17, 19]"
37,2,CORRIGIDO,llm,[9],[9]
37,3,LIMITE_RODADAS_ATINGIDO,llm,[9],[]
39,1,CORRIGIDO,cache,"[6, 7, 11, 17, 19]","[11, 17, 6, 7, 19]"
39,2,CORRIGIDO,llm,"[6, 11]","[6, 11]"
39,3,LIMITE_RODADAS_ATINGIDO,llm,[11],[]
56,1,CORRIGIDO,cache,"[6, 17, 19]","[6, 17, 19]"
56,2,CORRIGIDO,llm,"[1, 3, 4, 15, 16]","[4, 15]"
56,3,LIMITE_RODADAS_ATINGIDO,llm,[19],[]
62,1,CORRIGIDO,cache,"[6, 10, 19]","[6, 10, 19]"
62,2,CORRIGIDO,llm,"[6, 10]","[10, 6]"
62,3,LIMITE_RODADAS_ATINGIDO,,"[6, 10, 17]",[]
63,1,CORRIGIDO,cache,"[6, 17, 19]","[6, 17, 19]"
63,2,CORRIGIDO,llm,"[1, 3, 4, 6, 9, 15, 16]","[4, 3, 15, 16]"
63,3,LIMITE_RODADAS_ATINGIDO,llm,[19],[]
66,1,CORRIGIDO,cache,"[6, 9, 17, 19]","[6, 9, 17, 19]"
66,2,CORRIGIDO,llm,"[11, 19]","[11, 19]"
66,3,LIMITE_RODADAS_ATINGIDO,llm,[17],[]
69,1,CORRIGIDO,cache,[19],[19]
69,2,APROVADO,llm,[],[]
74,1,CORRIGIDO,cache,"[16, 17, 19]","[17, 19]"
74,2,CORRIGIDO,llm,"[16, 17]",[17]
74,3,LIMITE_RODADAS_ATINGIDO,llm,[16],[]
