question_id,question_type,discipline,taxonomy_level,base_text,stem,statement_i,statement_ii,statement_iii,statement_iv,assertion_i,assertion_ii,option_a,option_b,option_c,option_d,option_e,correct_option,o_que_melhorar,n_melhorias,n_fe,n_ap,n_apl
2,Afirmação Incompleta,educacao de jovens e adultos,Avaliar,"A Educação de Jovens e Adultos (EJA) atende sujeitos com histórias escolares interrompidas, percursos de trabalho precoce e diferentes formas de inserção social. Considerar essas singularidades é essencial para planejar propostas pedagógicas coerentes com suas necessidades formativas.","Nesse contexto, uma ação pedagógica adequada à EJA deve reconhecer que seus estudantes...",,,,,,,"possuem trajetória homogênea e aprendem melhor quando recebem o mesmo currículo, no mesmo ritmo e com as mesmas atividades dos demais níveis de ensino.","apresentam necessidades específicas de aprendizagem, tempo e organização escolar, exigindo práticas que articulem saberes de vida, flexibilidade e valorização de suas experiências.",têm como principal característica a impossibilidade de desenvolver aprendizagens formais devido às lacunas acumuladas ao longo da vida.,"devem ser tratados prioritariamente como um grupo infantilizado, para facilitar a adaptação às exigências da escolarização regular.","necessitam apenas de conteúdos básicos e repetitivos, pois suas experiências anteriores tornam dispensável a contextualização pedagógica.",B,[FE] suavizar termos absolutos nos distratores | [FE] conectar as alternativas ao conteúdo do item,2,2,0,0
22,Múltipla Escolha Simples,"avaliacao, controle e regulacao no sus",Avaliar,"Uma secretaria municipal de saúde pretende implantar um processo sistemático de avaliação das unidades básicas, com foco na utilização de recursos e nos resultados alcançados nos territórios. O gestor responsável já dispõe de dados de produção, registros financeiros e alguns indicadores clínico-epidemiológicos, mas enfrenta pressões de diferentes grupos: parte da equipe deseja priorizar apenas o volume de atendimentos, enquanto representantes do controle social cobram transparência sobre a qualidade do cuidado e o impacto das ações na saúde da população. Além disso, a área financeira insiste em reduzir gastos em insumos e pessoal. Diante desse cenário, o gestor precisa estruturar um conjunto de critérios, normas e procedimentos para orientar a avaliação, de modo a sustentar decisões de regulação, planejamento e eventual reorientação dos serviços no SUS.","Considerando a situação descrita, e tendo em vista a necessidade de organizar critérios, normas e procedimentos para uma avaliação no SUS, julgue qual ação o gestor deve adotar para que o processo avaliativo seja coerente com os princípios de uso racional de recursos e de melhoria da saúde da população.",,,,,,,"Definir em ato normativo critérios que combinem análise do gasto por usuário com indicadores de desfechos em saúde, estabelecendo procedimentos de avaliação que relacionem a utilização de recursos aos resultados obtidos nos territórios.","Instituir norma interna priorizando o aumento de consultas e procedimentos registrados, estabelecendo rotinas de avaliação baseadas principalmente na comparação do volume de produção entre as unidades de saúde.","Adotar procedimento avaliativo centrado em planilhas de controle orçamentário, definindo critérios ligados ao cumprimento de metas de economia em insumos e redução de horas de profissionais nas unidades.","Organizar a avaliação com base em relatos qualitativos das equipes e dos usuários, instituindo reuniões periódicas e registros descritivos como critério principal para orientar as decisões de gestão.","Estabelecer como critério central a satisfação imediata das demandas dos grupos mais influentes, criando normas flexíveis que permitam ajustar a avaliação conforme as pressões de cada segmento envolvido.",A,[FE] eliminar pista: palavra do enunciado só no gabarito | [FE] explicitar o comando do enunciado | [APL] reposicionar o gabarito (viés de letra no conjunto),3,2,0,1
26,Afirmação Incompleta,geografia economica,Avaliar,"A consolidação da Geografia econômica como sub-ramo da Geografia foi marcada pela tentativa de compreender a organização espacial das atividades produtivas, as localizações industriais e os fluxos de mercadorias, trabalho e capital. Nesse percurso, diferentes autores contribuíram para delimitar seu objeto de estudo e suas bases teóricas, tanto no âmbito mundial quanto no brasileiro.","Nesse contexto, a Geografia econômica caracteriza-se como o campo que estuda, principalmente, a __________.",,,,,,,distribuição espacial das atividades econômicas e suas relações com o território.,evolução cronológica das doutrinas financeiras e monetárias em escala global.,formação fisiográfica dos continentes e sua influência sobre os climas regionais.,estrutura morfológica das cidades e a hierarquia urbana dos centros metropolitanos.,administração contábil das empresas e os mecanismos internos de precificação.,A,[FE] remover lacuna (__) do enunciado | [FE] tornar o texto-base necessário ou removê-lo | [FE] conectar as alternativas ao conteúdo do item | [APL] reposicionar o gabarito (viés de letra no conjunto),4,3,0,1
32,Múltipla Escolha Simples,arte contemporanea,Avaliar,"No início da década de 1960, um artista norte-americano passou a utilizar imagens retiradas da publicidade, de quadrinhos e de embalagens industriais para produzir pinturas e gravuras em série. Ao repetir latas de sopa, rostos de celebridades e produtos de consumo, ele transformou imagens do cotidiano em tema artístico, recorrendo a processos de reprodução mecânica que aproximavam a obra da cultura de massa. Em uma análise comparativa, um estudante afirma que essa estratégia consiste em elevar objetos banais ao estatuto de arte sem ocultar sua origem na sociedade de consumo.","Com base nesse contexto, qual interpretação crítica melhor caracteriza a Pop Art e a técnica empregada por esse artista?",,,,,,,"Valorizar a singularidade da pincelada expressionista para denunciar a alienação urbana, recorrendo à pintura gestual e espontânea como marca central da obra.","Rejeitar toda referência ao cotidiano e à cultura de massa, defendendo a autonomia absoluta da forma por meio de superfícies neutras e impessoais.","Transformar imagens e produtos da mídia em tema artístico, apropriando-se de procedimentos de repetição e reprodução mecânica para problematizar o consumo de massa.","Substituir a imagem figurativa por estruturas tridimensionais austeras, buscando a experiência contemplativa do espaço através de materiais industriais mínimos.","Recuperar temas mitológicos clássicos com acabamento artesanal único, a fim de restaurar a aura tradicional da pintura e afastá-la da indústria cultural.",C,[FE] explicitar o comando do enunciado | [FE] tornar o texto-base necessário ou removê-lo,2,2,0,0
36,Múltipla Escolha Simples,arte contemporanea,Avaliar,"Uma curadora convidou um jovem artista para integrar uma exposição sobre processos experimentais na arte contemporânea. Durante a visita ao ateliê, o artista apresenta um projeto composto por instruções escritas e gravações de áudio que descrevem ações a serem realizadas pelo público em espaços urbanos. Ele destaca que o interesse principal está no percurso mental ativado em quem executa ou imagina as propostas, enquanto os registros materiais dessas ações têm função documental em sua pesquisa. A curadora manifesta preocupação com a ausência de objetos visualmente impactantes na mostra e sugere a criação de peças escultóricas mais elaboradas. Diante do impasse, o artista decide reformular sua participação, buscando preservar a ênfase na centralidade da ideia e no processo reflexivo que deseja desencadear no público, em sintonia com discussões conceituais da arte da segunda metade do século XX.","Considerando a situação descrita e a ênfase do artista na sobreposição da ideia ao produto final, identifique a alternativa que apresenta uma decisão coerente com essa pesquisa para a reformulação de sua participação na exposição.",,,,,,,"Manter as instruções como núcleo da obra e propor que o público execute ou leia essas ações durante a exposição, realizando registros simples dos vestígios do processo como complemento documental.","Desenvolver esculturas monumentais baseadas nas descrições das ações, concentrando o esforço em acabamentos sofisticados e em materiais de alto custo que impressionem o visitante.","Criar uma série de telas com imagens ilustrativas das possíveis ações urbanas, priorizando composições harmoniosas e cromatismo impactante para reforçar a dimensão visual.","Produzir objetos tridimensionais que simulem cenas das ações propostas, organizando-os como ambientações cenográficas pensadas para gerar imagens fotogênicas da mostra.","Substituir as instruções por um vídeo com efeitos visuais complexos, em que atores encenam as ações urbanas em cenários iluminados de forma cinematográfica e tecnicamente elaborada.",A,[FE] eliminar pista: palavra do enunciado só no gabarito | [AP] alinhar o verbo do enunciado ao Bloom declarado (detectado Lembrar vs declarado Avaliar) | [APL] reposicionar o gabarito (viés de letra no conjunto),3,1,1,1
37,Múltipla Escolha Simples,estetica facial aplicada,Analisar,"Uma paciente de 38 anos, fototipo III, procura atendimento relatando manchas acastanhadas no rosto há cerca de dois anos. Ela refere intensificação após férias em região litorânea, uso contínuo de anticoncepcional oral e episódios recentes de estresse intenso. No exame, observam-se áreas hiperpigmentadas, de limites relativamente nítidos, distribuídas de forma simétrica em fronte, região malar e dorso nasal, sem relevo ou descamação. A paciente utiliza fotoprotetor, porém aplica o produto uma vez ao dia, em quantidade reduzida, reaplicando apenas em situações de exposição direta prolongada ao sol. Relata histórico familiar de manchas faciais semelhantes na mãe. Diante desse quadro, o profissional precisa organizar as informações clínicas e relacioná-las às principais hipercromias faciais para formular a hipótese diagnóstica inicial e planejar condutas clareadoras e fotoprotetoras adequadas.","Com base na situação descrita, identifique a alternativa que apresenta a conclusão clínica mais compatível com o quadro de hiperpigmentação facial dessa paciente.",,,,,,,"Atribuir o quadro a uma hipercromia relacionada à combinação de influência hormonal, exposição solar acumulada e predisposição familiar, com distribuição típica em áreas centrais da face.","Relacionar as manchas a hipercromia localizada por exposição solar aguda recente, limitada ao período das últimas férias, sem participação relevante de fatores hormonais.","Interpretar as lesões como hipercromia característica de fototipos muito claros, com predomínio de pequenas máculas arredondadas que se iniciam na infância.","Classificar as manchas como hipercromia predominantemente associada ao envelhecimento cutâneo e ao fotoexposição crônica, com maior ocorrência em regiões como mãos, ombros e colo.","Concluir que se trata de hipercromia residual pós-inflamatória, decorrente de trauma prévio ou lesões inflamatórias extensas em toda a face.",A,[FE] eliminar pista: palavra do enunciado só no gabarito | [AP] alinhar o verbo do enunciado ao Bloom declarado (detectado Lembrar vs declarado Analisar) | [APL] reposicionar o gabarito (viés de letra no conjunto),3,1,1,1
39,Múltipla Escolha Simples,geometria espacial,Avaliar,"Em uma aula de Geometria Espacial, um estudante analisa um poliedro convexo que possui 8 vértices e 12 arestas, verificando também a consistência entre suas faces, vértices e arestas por meio de uma relação clássica da geometria dos poliedros.","Para esse poliedro, o número de faces é igual a...",,,,,,,"6, pois ele satisfaz a relação de Euler $V-A+F=2$.","4, pois todo poliedro com 8 vértices e 12 arestas possui duas faces a menos que vértices.","8, pois em um poliedro convexo o número de faces coincide sempre com o número de vértices.","10, pois a relação de Euler determina que o número de faces é a soma de vértices e arestas menos dois.","12, pois o número de faces é sempre igual ao número de arestas em qualquer poliedro.",A,[FE] alongar o gabarito (mais curto que os distratores) | [FE] suavizar termos absolutos nos distratores | [FE] explicitar o comando do enunciado | [APL] reposicionar o gabarito (viés de letra no conjunto),4,3,0,1
56,Múltipla Escolha Simples,quimica organica,Analisar,"Um estudante investiga a reação entre o alceno $CH_3-CH\=CH-CH_3$ e $HBr$ em duas condições experimentais. No primeiro frasco, utiliza $HBr$ em solução inerte, à temperatura moderada, sem quaisquer iniciadores radicalares adicionados. Nessa situação, ele sabe que a reação costuma prosseguir por um mecanismo de adição eletrofílica, envolvendo a formação de um carbocátion intermediário e orientação de adição associada à regra de Markovnikov. No segundo frasco, repete a mistura, mas adiciona uma pequena quantidade de um peróxido que atua como iniciador radicalar, sem mencionar outras fontes de oxigênio. Sabendo que, nessas condições, a adição de $HBr$ pode seguir um mecanismo radicalar, o estudante precisa comparar a estabilidade do carbocátion e do radical intermediário para entender como cada percurso reacional direciona a posição do bromo na cadeia e explica as diferentes proporções de isômeros de bromoalcanos observadas.","Considerando as duas condições descritas, identifique a alternativa que descreve corretamente o raciocínio que o estudante deve utilizar para prever o produto majoritário formado em cada frasco, em termos da posição em que o bromo se liga ao alcano resultante.",,,,,,,"Diferenciar os dois frascos verificando que, no primeiro, a reação ocorre por adição eletrofílica via carbocátion estável no carbono mais substituído, de modo que o bromo se liga preferencialmente a esse carbono (regra de Markovnikov), enquanto, no segundo, a reação ocorre por mecanismo radicalar em que o radical intermediário mais estável envolve o carbono menos substituído, levando o bromo a se ligar principalmente a esse carbono (orientação anti-Markovnikov), resultando em produtos com bromo em posições opostas nas duas condições.","Organizar o raciocínio supondo que, no primeiro frasco, o bromo se une diretamente ao carbono menos substituído da dupla, e, no segundo, a protonação inicial fixa o próton no carbono mais substituído, gerando o mesmo bromoalcano em ambas as condições.","Examinar as condições e assumir que, em ambos os frascos, a etapa determinante é a protonação da dupla em um dos carbonos, de modo que o bromo se distribui de forma imprevisível entre os dois centros, resultando em mistura semelhante de isômeros.","Comparar os frascos atribuindo ao primeiro uma etapa inicial de ataque do brometo à dupla para formar um intermediário neutro, e ao segundo uma sequência em que o próton se adiciona depois ao carbono menos substituído, explicando a inversão de orientação observada.","Atribuir aos dois frascos percursos reacionais muito próximos, com pequenas diferenças de velocidade, de forma que o bromo tende a se ligar ao carbono mais substituído, e as diferenças de isomeria se explicam por variações de estereoquímica durante o ataque do brometo.",A,[FE] encurtar o gabarito (mais longo que os distratores) | [AP] alinhar o verbo do enunciado ao Bloom declarado (detectado Lembrar vs declarado Analisar) | [APL] reposicionar o gabarito (viés de letra no conjunto),3,1,1,1
62,Múltipla Escolha Simples,estruturas algebricas,Aplicar,"Uma equipe de pesquisa em educação matemática analisou o desempenho de estudantes em três avaliações sucessivas. Para isso, organizou os resultados em três conjuntos, todos subconjuntos de $\mathbb{N}$: $A$ representa as notas dos estudantes na primeira avaliação, $B$ as notas da segunda e $C$ as notas da terceira. Após tabular os dados, a equipe obteve: $A = \{4, 5, 6, 7\}$, $B = \{5, 7, 8\}$ e $C = \{4, 6, 8, 9\}$. Os pesquisadores desejam identificar quais notas apareceram em pelo menos duas avaliações diferentes para investigar possíveis padrões de consolidação de aprendizagem entre as etapas do curso em que as provas foram aplicadas.","Com base na situação descrita, determine o conjunto que representa todas as notas que ocorreram em pelo menos duas das três avaliações.",,,,,,,"Calcular $(A \cap B) \cup (A \cap C) \cup (B \cap C)$, obtendo o conjunto $\{4, 5, 6, 7, 8\}$.","Calcular $(A \cup B) \cap C$, obtendo o conjunto $\{4, 6, 8\}$.","Calcular $(A \cap B) \cup C$, obtendo o conjunto $\{4, 5, 6, 7, 8, 9\}$.","Calcular $A \cup B \cup C$, obtendo o conjunto $\{4, 5, 6, 7, 8, 9\}$.","Calcular $(A \cap B) \cap C$, obtendo o conjunto $\{\}$ (vazio).",A,[FE] encurtar o gabarito (mais longo que os distratores) | [FE] reescrever enunciado em forma afirmativa | [APL] reposicionar o gabarito (viés de letra no conjunto),3,2,0,1
63,Afirmação Incompleta,fisioterapia dermatofuncional,Avaliar,"Uma mulher de 32 anos, vítima de queimadura térmica em membros superiores e tronco há oito semanas, comparece ao seguimento ambulatorial de Fisioterapia Dermatofuncional. O prontuário hospitalar contém informações detalhadas sobre extensão corporal acometida, profundidade das lesões, procedimentos cirúrgicos realizados e intercorrências clínicas agudas. No entanto, não há registro de medidas atualizadas de amplitude de movimento, força, dor, prurido, impacto psicossocial das cicatrizes ou limitações nas atividades de vida diária. A paciente relata dificuldade para elevar os braços, sensação de repuxamento nas áreas enxertadas e preocupação com sua reintegração laboral e social. Diante de tempo de consulta restrito, o fisioterapeuta precisa julgar quais componentes da avaliação clínica devem receber prioridade para sustentar um planejamento terapêutico focado na funcionalidade, no controle cicatricial e na qualidade de vida.","Na consulta ambulatorial descrita, a conduta de avaliação que mais favorece o planejamento fisioterapêutico dermatofuncional é",,,,,,,"organizar uma anamnese minuciosa direcionada à história da queimadura, às cirurgias realizadas, às queixas atuais e às repercussões funcionais e psicossociais, seguida de exame físico que contemple inspeção das cicatrizes, avaliação da mobilidade segmentar e análise da força muscular.","concentrar o atendimento em exame físico abreviado voltado à mensuração de amplitude de movimento e perimetria, utilizando o prontuário como fonte principal para os demais dados clínicos e reduzindo a investigação das queixas subjetivas.","priorizar a comparação entre registros imagéticos seriados e o aspecto atual das áreas enxertadas, dando ênfase ao julgamento estético global e postergando a avaliação sistemática da função musculoesquelética.","reaplicar o protocolo de admissão hospitalar, repetindo medidas de extensão da superfície corporal queimada e parâmetros vitais, com atenção secundária às limitações funcionais instaladas ao longo do período ambulatorial.","realizar rastreio sintético da dor com escala numérica e observação geral da postura em ortostatismo, deixando a análise detalhada das cicatrizes, do movimento e da força para reavaliações futuras.",A,[FE] encurtar o gabarito (mais longo que os distratores) | [APL] reposicionar o gabarito (viés de letra no conjunto),2,1,0,1
