question_id,rodada_da_correcao,criterios_visados_pela_correcao,criterio_novo_introduzido
2,2,"[7, 17]",6
37,1,"[9, 19]",6
37,1,"[9, 19]",15
39,2,[19],9
39,2,[19],6
56,1,"[6, 17, 19]",9
56,3,[17],16
56,3,[17],15
62,1,"[6, 10, 19]",9
62,1,"[6, 10, 19]",5
62,1,"[6, 10, 19]",17
63,1,"[6, 19]",9
74,2,[16],17
78,3,[17],7
93,1,"[6, 7, 11]",9
93,1,"[6, 7, 11]",17
98,1,"[9, 17, 19]",6
106,1,"[15, 17, 19]",5
106,1,"[15, 17, 19]",6
106,3,[6],15
117,2,[11],17
118,2,[6],9
141,1,"[7, 11, 19]",17
141,3,[17],7
160,1,"[15, 19]",18
160,2,"[15, 18]",17
184,1,"[9, 11, 17, 19]",5
184,2,"[5, 11]",17
227,1,"[12, 17, 19]",7
241,3,"[9, 17]",6
288,2,"[6, 9]",7
289,1,"[15, 19]",18
312,1,"[7, 12, 17, 19]",9
312,1,"[7, 12, 17, 19]",6
312,2,"[9, 17]",7
327,2,"[16, 17]",7
331,1,"[9, 17, 19]",6
331,1,"[9, 17, 19]",7
356,2,"[9, 17]",7
360,2,[17],9
360,2,[17],6
360,2,[17],7
438,3,[17],7
470,1,"[11, 12, 17]",7
526,1,"[7, 17]",16
536,1,"[7, 12, 17, 19]",16
540,3,[17],7
567,1,"[11, 17, 19]",9
567,1,"[11, 17, 19]",6
589,1,"[9, 11]",6
589,1,"[9, 11]",7
589,3,[9],7
591,2,"[17, 19]",7
615,3,[17],5
620,1,"[9, 17, 19]",7
620,3,[9],7
690,2,"[6, 7, 9]",5
787,3,"[9, 17]",6
792,2,"[9, 15]",16
792,3,"[9, 16]",7
801,2,[17],7
827,2,[17],10
827,2,[17],12
827,2,[17],5
