question_id,rodadas_executadas,status_final,n_melhorias_inicial,n_melhorias_final,criterios_iniciais,criterios_finais,criterios_resolvidos,criterios_novos,n_criterios_resolvidos
2,3,LIMITE_RODADAS_ATINGIDO,3,0,"[7, 15, 16, 17]","[6, 7, 9]","[15, 16, 17]","[6, 9]",3
22,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 11, 17, 19]",[9],"[11, 17, 19]",[],3
26,3,LIMITE_RODADAS_ATINGIDO,3,1,"[12, 16, 17, 19]","[16, 17]","[12, 19]",[],2
32,2,APROVADO,1,0,"[11, 17]",[],"[11, 17]",[],2
36,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]",[9],"[17, 19]",[],2
37,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]",[9],"[17, 19]",[],2
39,3,LIMITE_RODADAS_ATINGIDO,4,1,"[6, 7, 11, 17, 19]",[11],"[6, 7, 17, 19]",[],4
56,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 17, 19]",[19],"[6, 17]",[],2
62,3,LIMITE_RODADAS_ATINGIDO,3,3,"[6, 10, 19]","[6, 10, 17]",[19],[17],1
63,3,LIMITE_RODADAS_ATINGIDO,2,1,"[6, 17, 19]",[19],"[6, 17]",[],2
66,3,LIMITE_RODADAS_ATINGIDO,4,1,"[6, 9, 17, 19]",[17],"[6, 9, 19]",[],3
69,2,APROVADO,1,0,[19],[],[19],[],1
74,3,LIMITE_RODADAS_ATINGIDO,2,1,"[16, 17, 19]",[16],"[17, 19]",[],2
78,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]",[9],"[17, 19]",[],2
85,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 17, 19]",[19],"[7, 17]",[],2
86,3,APROVADO,3,0,"[7, 11, 19]",[],"[7, 11, 19]",[],3
93,2,APROVADO,3,0,"[6, 7, 11, 17]",[],"[6, 7, 11, 17]",[],4
98,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 17, 19]",[9],"[17, 19]",[],2
106,3,LIMITE_RODADAS_ATINGIDO,2,2,"[15, 17, 19]","[6, 7, 9, 15, 17, 19]",[],"[6, 7, 9]",0
109,3,LIMITE_RODADAS_ATINGIDO,3,2,"[9, 17, 19]","[9, 17]",[19],[],1
117,3,LIMITE_RODADAS_ATINGIDO,3,1,"[7, 11, 19]",[19],"[7, 11]",[],2
118,3,LIMITE_RODADAS_ATINGIDO,3,1,"[6, 7, 9, 17]","[6, 7, 17]",[9],[],1
122,3,LIMITE_RODADAS_ATINGIDO,2,2,"[3, 17, 19]","[3, 19]",[17],[],1
123,3,LIMITE_RODADAS_ATINGIDO,2,1,"[9, 19]",[9],[19],[],1
131,2,APROVADO,2,0,"[17, 19]",[],"[17, 19]",[],2
132,2,APROVADO,1,0,"[17, 19]",[],"[17, 19]",[],2
141,3,LIMITE_RODADAS_ATINGIDO,3,2,"[7, 11, 17, 19]","[7, 17, 19]",[11],[],1
151,3,LIMITE_RODADAS_ATINGIDO,1,0,"[17, 19]",[17],[19],[],1
160,3,LIMITE_RODADAS_ATINGIDO,2,3,"[15, 17, 19]","[15, 19]",[17],[],1
165,2,APROVADO,2,0,"[17, 19]",[],"[17, 19]",[],2
167,3,LIMITE_RODADAS_ATINGIDO,2,1,"[9, 19]",[9],[19],[],1
171,3,LIMITE_RODADAS_ATINGIDO,2,0,"[6, 17, 19]",[17],"[6, 19]",[],2
184,3,LIMITE_RODADAS_ATINGIDO,3,1,"[9, 11, 17, 19]","[7, 9]","[11, 17, 19]",[7],3
186,3,LIMITE_RODADAS_ATINGIDO,5,5,"[2, 3, 11, 15, 17, 19]","[2, 3, 15, 17, 19]",[11],[],1
224,3,APROVADO,3,0,"[7, 9, 11]",[],"[7, 9, 11]",[],3
227,3,APROVADO,2,0,"[7, 12, 17, 19]",[],"[7, 12, 17, 19]",[],4
228,3,LIMITE_RODADAS_ATINGIDO,1,0,[17],[17],[],[],0
229,3,LIMITE_RODADAS_ATINGIDO,2,2,"[11, 17, 19]","[5, 10, 11, 12, 18]","[17, 19]","[5, 10, 12, 18]",2
238,3,LIMITE_RODADAS_ATINGIDO,2,0,"[12, 17, 19]",[17],"[12, 19]",[],2
241,3,LIMITE_RODADAS_ATINGIDO,2,1,"[9, 17]",[9],[17],[],1
251,3,LIMITE_RODADAS_ATINGIDO,3,4,"[12, 15, 17, 19]","[2, 3, 15, 16]","[12, 17, 19]","[2, 3, 16]",3
252,3,LIMITE_RODADAS_ATINGIDO,4,0,"[5, 6, 12, 17, 19]","[7, 17]","[5, 6, 12, 19]",[7],4
