question_id,discipline,question_type,taxonomy_level,base_text,stem,statement_i,statement_ii,statement_iii,statement_iv,assertion_i,assertion_ii,option_a,option_b,option_c,option_d,option_e,correct_option
1,História da Filosofia Medieval,Afirmação Incompleta,Avaliar,"Em um curso de História da Filosofia Medieval, um professor propõe que os estudantes analisem como a leitura das Escrituras influenciou a formulação de conceitos filosóficos cristãos. Para isso, entrega a cada grupo diferentes trechos bíblicos, acompanhados de comentários patrísticos e de decisões de concílios antigos sobre a aceitação de determinados livros. Um dos grupos decide orientar seu trabalho apenas pela devoção pessoal aos textos que considera mais edificantes, outro privilegia os escritos mais citados em sermões populares, enquanto um terceiro procura reconstruir os critérios históricos pelos quais certas obras foram reconhecidas em uso litúrgico e doutrinal ao longo dos séculos. Ao final, o professor solicita que os grupos revisem suas escolhas à luz da relação entre a tradição e a reflexão filosófica cristã.","Ao revisar o trabalho desse terceiro grupo, um historiador da filosofia medieval deveria avaliar como mais adequada, para compreender a importância da Bíblia na formação da filosofia cristã, a postura que",,,,,,,"reexamina os escritos utilizados em contextos litúrgicos e doutrinais, confrontando-os com testemunhos históricos sobre sua recepção comunitária, a fim de delimitar quais textos fundamentam com maior consistência as elaborações filosóficas cristãs.","privilegia os textos bíblicos que suscitam maior identificação emocional nos leitores, tomando essa experiência afetiva como principal critério para selecionar as passagens que orientarão a reflexão filosófica cristã.","escolhe os escritos que apresentam linguagem mais acessível ao público contemporâneo, utilizando essa facilidade de compreensão como eixo para determinar quais textos sustentarão a argumentação filosófica cristã.","hierarquiza os textos bíblicos a partir da frequência com que aparecem em pregações e devoções populares, adotando essa recorrência como base para estabelecer os escritos decisivos para a filosofia cristã.","define como centrais os escritos associados a figuras políticas influentes do Império, tomando o prestígio institucional de seus defensores como critério principal para selecionar os textos que orientarão a reflexão filosófica cristã.",A
2,Educação de Jovens e Adultos,Afirmação Incompleta,Avaliar,"A Educação de Jovens e Adultos (EJA) atende sujeitos com histórias escolares interrompidas, percursos de trabalho precoce e diferentes formas de inserção social. Considerar essas singularidades é essencial para planejar propostas pedagógicas coerentes com suas necessidades formativas.","Nesse contexto, uma ação pedagógica adequada à EJA deve reconhecer que seus estudantes...",,,,,,,"possuem trajetória homogênea e aprendem melhor quando recebem o mesmo currículo, no mesmo ritmo e com as mesmas atividades dos demais níveis de ensino.","apresentam necessidades específicas de aprendizagem, tempo e organização escolar, exigindo práticas que articulem saberes de vida, flexibilidade e valorização de suas experiências.",têm como principal característica a impossibilidade de desenvolver aprendizagens formais devido às lacunas acumuladas ao longo da vida.,"devem ser tratados prioritariamente como um grupo infantilizado, para facilitar a adaptação às exigências da escolarização regular.","necessitam apenas de conteúdos básicos e repetitivos, pois suas experiências anteriores tornam dispensável a contextualização pedagógica.",B
3,ENSINO E APRENDIZAGEM DAS CIÊNCIAS NATURAIS,Afirmação Incompleta,Analisar,"Em uma atividade investigativa sobre a fauna de uma área de mata e de um pequeno açude, estudantes registram diferentes grupos de animais, como insetos que vivem no solo e em troncos em decomposição, peixes, anfíbios, aves e pequenos mamíferos. Ao comparar os registros, a turma observa que esses organismos utilizam o ambiente de formas distintas, com hábitos alimentares variados, períodos de atividade diferenciados e uso de abrigos específicos. O professor propõe que os estudantes relacionem essas diferenças às funções desempenhadas por cada grupo na dinâmica do ecossistema, discutindo como a diversidade de comportamentos e de estratégias de obtenção de alimento contribui para a circulação de matéria e de energia. Na sistematização final, o professor precisa escolher um critério de organização dos dados que destaque a relação entre diversidade biológica e manutenção do equilíbrio ambiental.","Ao sistematizar os dados coletados sobre os animais da mata e do açude, o professor melhor relaciona a diversidade de grupos à manutenção do equilíbrio do ecossistema local quando organiza as informações de modo a",,,,,,,"destacar os diferentes hábitos alimentares de insetos, peixes, anfíbios, aves e mamíferos, indicando como a variedade de fontes de alimento exploradas por esses grupos reparte os recursos disponíveis e diminui a pressão sobre um mesmo tipo de recurso ambiental.","comparar o tamanho corporal de insetos, peixes, anfíbios, aves e mamíferos, afirmando que os animais de maior porte são os principais responsáveis pela estabilidade do ecossistema por consumirem maior quantidade de biomassa.","classificar insetos, peixes, anfíbios, aves e mamíferos de acordo com o tipo de ambiente em que foram observados, concluindo que a diversidade de funções ecológicas resulta de forma direta da presença de áreas com maior disponibilidade de água.","agrupar insetos, peixes, anfíbios, aves e mamíferos segundo a coloração predominante do corpo, supondo que organismos com cores semelhantes ocupam o mesmo nível trófico e exercem funções equivalentes na cadeia alimentar.","separar insetos, peixes, anfíbios, aves e mamíferos conforme o período de atividade, concluindo que a existência de espécies diurnas e noturnas elimina a competição entre elas pelo mesmo tipo de recurso alimentar.",A
5,Geometria Espacial,Afirmação Incompleta,Avaliar,"Em uma maquete de arquitetura, duas hastes de sustentação ocupam posições distintas no espaço. A análise da configuração indica que elas não têm ponto comum e pertencem a planos diferentes.",Identifique a denominação dada a essas duas retas.,,,,,,,concorrentes.,paralelas.,perpendiculares.,coplanares.,reversas.,E
8,Geometria Espacial,Afirmação Incompleta,Avaliar,"Em um projeto de modelagem para uma estrutura arquitetônica, um engenheiro representa duas vigas por retas distintas no espaço. Ao analisar a posição relativa dessas vigas, ele observa que elas não se interceptam e também não pertencem a um mesmo plano, embora pareçam paralelas em uma projeção bidimensional do desenho técnico. Para evitar um erro de interpretação, ele precisa classificar corretamente essa relação no espaço tridimensional.","Com base na situação descrita, a classificação correta das duas retas é",,,,,,,"concorrentes, pois não se interceptam no desenho e formam ângulos não aparentes na projeção.","perpendiculares, pois duas retas que não se cruzam podem determinar um ângulo de 90° no espaço.","paralelas, pois retas que não possuem ponto em comum necessariamente pertencem ao mesmo plano.","reversas, pois não possuem interseção entre si e não pertencem ao mesmo plano.","secantes, pois, mesmo sem interseção visível, toda projeção de retas no espaço representa um único ponto comum.",D
11,METODOLOGIAS DO ENSINO DE LÍNGUAS ESTRANGEIRAS,Múltipla Escolha Simples,Analisar,"Uma professora de Língua Inglesa do Ensino Médio atua em uma escola pública em que o livro didático é o principal recurso para o trabalho em sala. Ao analisar o material adotado, ela observa que quase todos os diálogos trazem apenas personagens de uma grande cidade norte-americana, com vocabulário formal e estruturas gramaticais muito controladas. As atividades de compreensão oral utilizam gravações com um único tipo de pronúncia e concentram-se em repetir frases modelo. Em uma turma, os estudantes relatam dificuldade para entender vídeos curtos de influenciadores estrangeiros que assistem fora da escola, pois o modo como as pessoas falam nesses vídeos parece bem diferente do que aparece no livro. Considerando esse cenário, a professora decide reorganizar suas aulas com base nesse mesmo material didático.","Diferencie, no cenário descrito, a ação que organiza o uso do livro didático de modo a contemplar a variação linguística da Língua Inglesa. Assinale a opção que corresponde a essa ação.",,,,,,,"Organizar as unidades do livro em sequência e manter principalmente os diálogos escritos, evitando incluir outros textos, para que os estudantes memorizem as formas apresentadas sem contato com modos diferentes de falar.","Organizar as aulas a partir dos diálogos do livro e acrescentar, em cada unidade, atividades em que os estudantes examinam trechos de vídeos e áudios externos, comparando vocabulário, pronúncia e expressões com o material do livro.","Organizar o uso do livro substituindo exercícios de escuta por listas de vocabulário formal, orientando os estudantes a decorar essas listas antes de entrar em contato com falas de outras regiões.","Organizar as atividades do livro priorizando a repetição em coro dos diálogos gravados, orientando a turma a imitar fielmente um modelo predominante de fala, sem discutir diferenças entre outros modos de uso da língua.","Organizar a sequência de aulas utilizando exclusivamente os áudios do livro, orientando os estudantes a ignorar vídeos e falas que apresentem pronúncias ou expressões diferentes das registradas no material adotado.",B
13,EDUCAÇÃO DE JOVENS E ADULTOS,Múltipla Escolha Simples,Avaliar,"Uma professora de Educação de Jovens e Adultos, em turma de alfabetização inicial, percebe que muitos estudantes relatam dificuldades para compreender textos que circulam em seu cotidiano de trabalho e de participação comunitária. Em reuniões anteriores, o grupo mencionou problemas com comunicados da associação de moradores, avisos do posto de saúde e instruções de segurança em seus empregos. Ao planejar o próximo ciclo de aulas, a professora deseja articular leitura e escrita com a análise crítica das condições de vida dos estudantes, considerando que vários deles enfrentam jornadas extensas, insegurança no trabalho e restrições de acesso a serviços públicos. Ela pretende, ainda, estimular que os estudantes discutam coletivamente essas situações, revisitem suas próprias falas e textos e formulem propostas de ação em seus territórios, sem reduzir as aulas a treinamentos mecânicos de decodificação de palavras.","Considerando a situação descrita, identifique a alternativa que apresenta uma decisão didática coerente com o processo de ensino e aprendizagem inspirado nas contribuições de Paulo Freire para a Educação de Jovens e Adultos.",,,,,,,"Organizar sequências de aulas nas quais os estudantes tragam exemplos de textos usados em seus trabalhos e comunidades, leiam-nos em pequenos grupos, discutam o que esses textos revelam sobre suas condições de vida e produzam novos textos coletivos que expressem posicionamentos e propostas de mudança.","Preparar um conjunto de cartilhas padronizadas com frases sobre cidadania e direitos, conduzindo leituras em voz alta para garantir fluência, sem abrir espaço para debates sobre as situações concretas de trabalho e de acesso a serviços públicos mencionadas pela turma.","Definir listas de palavras consideradas mais frequentes nos comunicados e avisos do cotidiano, propondo exercícios sistemáticos de cópia e ditado, com correção individualizada, adiando para outro momento a discussão sobre as condições de vida dos estudantes.","Selecionar trechos de obras literárias consagradas e orientar os estudantes a identificar estruturas gramaticais e pontuação, priorizando a norma padrão como requisito para, em etapas posteriores, abordar os problemas enfrentados no trabalho e na comunidade.","Estabelecer um cronograma de aulas focado em testes periódicos de leitura em voz alta e de produção de pequenos textos descritivos, usando temas neutros, para avaliar a evolução individual, evitando abordar conflitos sociais que possam gerar tensões em sala de aula.",A
18,Cálculo Diferencial e Integral III,Múltipla Escolha Simples,Criar,"Em um estudo sobre a resposta de um circuito elétrico a uma entrada impulsiva, obteve-se no domínio de Laplace a expressão $F(s)=\frac{2s+3}{(s+1)(s+2)^2}$. Para interpretar o comportamento no tempo, um engenheiro propôs decompor $F(s)$ em frações parciais e, em seguida, aplicar a transformada inversa de Laplace usando a tabela e as propriedades conhecidas.",A expressão no domínio do tempo correspondente a $F(s)$ é,,,,,,,$2e^{-t}-e^{-2t}+3te^{-2t}$,$2e^{-t}+e^{-2t}-3te^{-2t}$,$2e^{-t}-e^{-2t}-3te^{-2t}$,$e^{-t}+2e^{-2t}+3te^{-2t}$,$2e^{-t}+e^{-2t}+3te^{-2t}$,A
22,"AVALIAÇÃO, CONTROLE E REGULAÇÃO NO SUS",Múltipla Escolha Simples,Avaliar,"Uma secretaria municipal de saúde pretende implantar um processo sistemático de avaliação das unidades básicas, com foco na utilização de recursos e nos resultados alcançados nos territórios. O gestor responsável já dispõe de dados de produção, registros financeiros e alguns indicadores clínico-epidemiológicos, mas enfrenta pressões de diferentes grupos: parte da equipe deseja priorizar apenas o volume de atendimentos, enquanto representantes do controle social cobram transparência sobre a qualidade do cuidado e o impacto das ações na saúde da população. Além disso, a área financeira insiste em reduzir gastos em insumos e pessoal. Diante desse cenário, o gestor precisa estruturar um conjunto de critérios, normas e procedimentos para orientar a avaliação, de modo a sustentar decisões de regulação, planejamento e eventual reorientação dos serviços no SUS.","Considerando a situação descrita, e tendo em vista a necessidade de organizar critérios, normas e procedimentos para uma avaliação no SUS, julgue qual ação o gestor deve adotar para que o processo avaliativo seja coerente com os princípios de uso racional de recursos e de melhoria da saúde da população.",,,,,,,"Definir em ato normativo critérios que combinem análise do gasto por usuário com indicadores de desfechos em saúde, estabelecendo procedimentos de avaliação que relacionem a utilização de recursos aos resultados obtidos nos territórios.","Instituir norma interna priorizando o aumento de consultas e procedimentos registrados, estabelecendo rotinas de avaliação baseadas principalmente na comparação do volume de produção entre as unidades de saúde.","Adotar procedimento avaliativo centrado em planilhas de controle orçamentário, definindo critérios ligados ao cumprimento de metas de economia em insumos e redução de horas de profissionais nas unidades.","Organizar a avaliação com base em relatos qualitativos das equipes e dos usuários, instituindo reuniões periódicas e registros descritivos como critério principal para orientar as decisões de gestão.","Estabelecer como critério central a satisfação imediata das demandas dos grupos mais influentes, criando normas flexíveis que permitam ajustar a avaliação conforme as pressões de cada segmento envolvido.",A
26,Geografia Econômica,Afirmação Incompleta,Avaliar,"A consolidação da Geografia econômica como sub-ramo da Geografia foi marcada pela tentativa de compreender a organização espacial das atividades produtivas, as localizações industriais e os fluxos de mercadorias, trabalho e capital. Nesse percurso, diferentes autores contribuíram para delimitar seu objeto de estudo e suas bases teóricas, tanto no âmbito mundial quanto no brasileiro.","Nesse contexto, a Geografia econômica caracteriza-se como o campo que estuda, principalmente, a __________.",,,,,,,distribuição espacial das atividades econômicas e suas relações com o território.,evolução cronológica das doutrinas financeiras e monetárias em escala global.,formação fisiográfica dos continentes e sua influência sobre os climas regionais.,estrutura morfológica das cidades e a hierarquia urbana dos centros metropolitanos.,administração contábil das empresas e os mecanismos internos de precificação.,A
